comparison,p_value,active_features,active_group
MAPK1_vs_IKBKG,1.41575885685803e-06,ACOX1/ADAM10/AKIRIN1/ATF5/BAZ1A/CLIC1/CPM/ERP29/FERMT3/FLNA/FMNL3/HERC1/HEXA/HEXB/JMJD1C/KCTD20/LDHB/LRP10/LRP12/MACF1/MBNL1/NDFIP1/NME4/NUDT14/OSBPL8/PFKP/PGD/PLEK/PLIN2/PTP4A1/SCPEP1/STARD4/TGFB1/TNS3/TPI1/VKORC1/ZC3H12A,10/11/13/18/20/21
TLR2_vs_IKBKG,0.00813509814117137,NORAD/TNS3/ZYX,""
STK11_vs_IKBKG,1.52257389169944e-05,ITGAV/NORAD/TNS3/ZYX,13
SEPHS2_vs_IKBKG,0.108856787791222,"",""
STAT2_vs_IKBKG,0.684040714055079,"",""
MAP3K7_vs_IKBKG,0.0386510603745312,"",""
RAB5C_vs_IKBKG,0.835061122956814,AP1B1/HGSNAT/TMEM165,2
ALG2_vs_IKBKG,0.0403342966376261,"",""
MYD88_vs_TAB1,0.783885201224747,"",""
IKBKG_vs_TAB1,0.872464162184468,AKR1A1/AP3B1/CD36/CMPK1/COMT/DECR1/ERP29/FBXW5/FERMT3/HEXB/KCTD20/MYL9/NME4/OSBPL8/PFKP/SCP2/SCPEP1/SLC16A3/TPI1/UPP1/ZC3H12A,11/21
IFNAR1_vs_TAB1,0.000564165954881045,DDX58/DTX3L/FXR1/IFI35/IFI44/IFIH1/OAS1/OAS2/PARP9/PNPT1/PTGER4/PTPN1/PUM1/RBCK1/SAMD9/SAMD9L/SAMHD1/SMARCA5/SP100/SP110/STMP1/TRIM38/TRIM56/UBE2L6/USP18,6/31
TXNDC17_vs_TAB1,0.779142066893343,"",""
FLI1_vs_TAB1,0.885535912387306,"",""
MAPK14_vs_TAB1,0.228874234796967,"",""
KIDINS220_vs_TAB1,0.37609759716013,DHFR/PCLAF/TYMS,33
MAP2K1_vs_TAB1,0.280916754678639,DENND3/GMFG/GRB2/NUCB1/PSD3,18
YEATS4_vs_TAB1,0.148342657280665,DHFR/TYMS,33
ATXN7L3_vs_TAB1,0.7778506175699,AP3B1/CELF1/FERMT3/FXR1/LGALS9/LITAF/MAP3K8/MYL12A/MYL9/NINJ1/OTULIN/PTGER4/PTPN1/PUM1/RAC2/SMARCA5/ST13/STIP1/STMP1/ZMPSTE24,6/21
